"Date","Domaine","Source","URL","Extrait 300 car.","Mots-clés trouvés","Nature","Statut","Date revue","Note"
"2026-07-28","Eau / Assainissement","CNDJ — Bibliothèque juridique","https://biblio.cndj.ci/search/textes/67669?type=1","LOI N° 2025-527 du 25/06/2025, portant Code de l'Assainissement et du Drainage","assainissement; drainage","Texte réglementaire","À analyser","",""
"2026-07-28","Environnement","CNDJ — Bibliothèque juridique","https://biblio.cndj.ci/search/textes/67670?type=1","LOI N° 2025-528 du 25/06/2025, relative à la lutte contre les changements climatiques","changement climatique","Texte réglementaire","À analyser","",""
"2026-07-28","Énergie","CNDJ — Bibliothèque juridique","https://biblio.cndj.ci/search/textes/67622?type=1","ORDONNANCE N° 2025-405 du 18/06/2025, portant abrogation de l'ordonnance n°2018-643 du 1er août 2018 instituant la taxe de soutien au Développement de l'Activité de Raffinage","raffinage","Texte réglementaire","À analyser","",""
"2026-07-28","Énergie","Ministère des Mines, du Pétrole et de l'Énergie","https://www.energie.gouv.ci/document/arrete-interministeriel-n-156-mmpe-mclu-mt-mineddte-mci-du-23-avril-2024-portant-audit-energetique","Arrêté interministériel n° 156 MMPE MCLU MT MINEDDTE MCI du 23 avril 2024 portant audit énergétique Ressources #4 Le nouveau magazine du ministère Lire Ressources #4 À propos Historique Le Ministre Missions et organisation Actualités Ministère Mines Pétrole Énergies Mines Politique minière…","audit energetique","Texte réglementaire","À analyser","",""
"2026-07-28","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/uploads/publications/177332357270.pdf","LOI N°2023-900 DU 23 NOVEMBRE 2023 PORTANT CODE DE L'ENVIRONNEMENT DECRET N° 2024-658 DU 01 AOUT 2024 PORTANT CREATION, ATTRIBUTIONS, ... DECRET N° 2024-594 DU 26 JUIN 2024 PORTANT CREATION, ATTRIBUTIONS, ... DECRET N 2024-595 DU 26 JUIN 2024 DETERMINANT LES REGLES ... ARRETE N 00236/MINEDD/DGE du…","code de l'environnement; environnement","Texte réglementaire","À analyser","",""
"2026-07-28","SST / Travail","Loidici — veille juridique ivoirienne","https://loidici.biz/2026/05/23/les-mesures-generales-dhygiene-en-milieu-de-travail/bon-a-savoir/76831/naty/","DECRET RELATIF AUX MESURES GENERALES D’HYGIENE EN MILIEU DE TRAVAIL BON A SAVOIR LE CODE DE L’ASSAINISSEMENT ET DU DRAINAGE BON A SAVOIR DES CODES JURIDIQUES… LOIDICI.BIZ ou ""Lois d'ici (Côte d'Ivoire)"" traite des… DROIT DES AFFAIRES ET… LOIDICI.BIZ ou ""Lois d'ici (Côte d'Ivoire)"" traite des……","hygiene en milieu de travail; assainissement; drainage; hygiene","Texte réglementaire","À analyser","",""
"2026-07-28","Eau / Assainissement","Loidici — veille juridique ivoirienne","https://loidici.biz/2026/05/14/le-code-de-lassainissement-et-du-drainage/bon-a-savoir/76459/naty/","LE CODE DE L’ASSAINISSEMENT ET DU DRAINAGE BON A SAVOIR DES CODES JURIDIQUES… LOIDICI.BIZ ou ""Lois d'ici (Côte d'Ivoire)"" traite des… DROIT DES AFFAIRES ET… LOIDICI.BIZ ou ""Lois d'ici (Côte d'Ivoire)"" traite des… DROIT DES PERSONNES ET… LOIDICI.BIZ ou ""Lois d'ici (Côte d'Ivoire)"" traite des… EN…","assainissement; drainage","Texte réglementaire","À analyser","",""
"2026-07-28","Environnement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/ecologie-et-changements-climatiques-le-ministre-abou-bamba-reaffirme-lambition-ecologique-de-la-cote-divoire-a-la-8e-edition-des-jfac-3171","Société ÉCOLOGIE ET CHANGEMENTS CLIMATIQUES : LE MINISTRE ABOU BAMBA RÉAFFIRME L'AMBITION ÉCOLOGIQUE DE LA CÔTE D'IVOIRE A LA 8E ÉDITION DES JFAC lundi 06 juillet 2026 Société LEVEE DE LA MISE EN DEMEURE VISANT SUCAF-CI : LE MINISTRE ABOU BAMBA RASSURE SUR LA REUSSITE DES OPERATIONS DE DEPOLLUTION…","depollution; changement climatique","Acte administratif","À analyser","",""
"2026-07-28","Environnement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/levee-de-la-mise-en-demeure-visant-sucaf-ci-le-ministre-abou-bamba-rassure-sur-la-reussite-des-operations-de-depollution-6213","Société LEVEE DE LA MISE EN DEMEURE VISANT SUCAF-CI : LE MINISTRE ABOU BAMBA RASSURE SUR LA REUSSITE DES OPERATIONS DE DEPOLLUTION lundi 06 juillet 2026 Économie TRANSITION ÉNERGÉTIQUE : TÉNÉ BIRAHIMA OUATTARA INAUGURE FERKÉ SOLAR, D’UNE PUISSANCE INSTALLÉE DE 52 MÉGAWATTS-CRÊTE dimanche 05…","depollution","Acte administratif","À analyser","",""
"2026-07-28","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/616","Environnement FERKESSÉDOUGOU / SUCAF-CI : LE MINISTRE ABOU BAMBA ANNONCE LA LEVÉE DE LA MISE EN DEMEURE DE LA SOCIÉTÉ SUCRIÈRE APRÈS LA RÉUSSITE DES OPÉRATIONS DE DÉPOLLUTION Vendredi 03 Juillet 2026 Environnement LE FONDS VERT POUR LE CLIMAT OCTROIE 50 MILLIONS DE DOLLARS A LA CÔTE D’IVOIRE POUR…","depollution; environnement","Acte administratif","À analyser","",""
"2026-07-28","Incendie / Sécurité","ONPC — Office National de la Protection Civile","https://www.onpc-ci.org/actualite/lonpc-sensibilise-les-acteurs-du-tourisme-sur-le-certificat-de-securite-incendie-a-daoukro-adzope-et-agboville","L’ONPC SENSIBILISE LES ACTEURS DU TOURISME SUR LE CERTIFICAT DE SECURITE INCENDIE A DAOUKRO, ADZOPE ET AGBOVILLE L'Office National de la Protection Civile (ONPC), à travers son Département de la Prévention et du Contrôle (DPC), a poursuivi sa campagne nationale de sensibilisation à la sécurité…","securite incendie; incendie; certificat de securite; protection civile; onpc; securite; prevention; protection","Acte administratif","À analyser","",""
"2026-08-07","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/626","Développement Durable POLLUTION PLASTIQUE : LE MINISTRE ABOU BAMBA ANNONCE LA CONSTRUCTION D'UNE MÉGA-USINE DE RECYCLAGE À SIKENSI Jeudi 06 Août 2026 Développement Durable ABENGOUROU / REFORESTATION : LE MINISTRE ABOU BAMBA LANCE UN PROJET DE 250 000 ARBRES POUR SOUTENIR LES COMMUNAUTÉS. Jeudi 30…","pollution; recyclage","Signal de veille","À analyser","",""
"2026-08-01","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/624","Environnement 25ᵉ JOURNÉE SCIENTIFIQUE DU SYNACASS-CI : LE MINISTRE ABOU BAMBA ENGAGE LA MOBILISATION CONTRE LES RISQUES SANITAIRES LIÉS AUX POLLUTIONS ENVIRONNEMENTALES Jeudi 30 Juillet 2026 Environnement MECANISME LOCAL : UNE MISSION DE TERRAIN POUR RENFORCER LA PLANIFICATION LOCALE DE…","pollution; sanitaire; risque; environnement","Signal de veille","À analyser","",""
"2026-08-01","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/623","Environnement MECANISME LOCAL : UNE MISSION DE TERRAIN POUR RENFORCER LA PLANIFICATION LOCALE DE L’ADAPTATION AU CHANGEMENT CLIMATIQUE Jeudi 30 Juillet 2026 Développement Durable SISE 2026 : LES COLLECTIVITES TERRITORIALES APPELEES A RENFORCER LEUR ROLE DANS LA LUTTE CONTRE LE CHANGEMENT…","changement climatique; environnement","Signal de veille","À analyser","",""
